t,skew,phase,vpp,filt,avg,amp,rms
1759793186.5611317,9.0755,326.72,0.711458,0.66003,0.448307,0.279219,0.0647248
1759793186.7226179,-0.9201,326.877,0.529167,0.58464,0.447813,0.287135,0.06440787
1759793186.8913574,9.0932,327.336,0.530208,0.5832,0.449479,0.277474,0.06460184
1759793187.065664,-0.9001,327.598,0.532292,0.58542,0.449661,0.272917,0.06434168
1759793187.2501335,-0.9001,327.598,0.532292,0.60117,0.45013,0.292917,0.06467172
1759793187.432635,9.1155,328.158,0.557292,0.60117,0.44987,0.300313,0.06447145
1759793187.606852,-0.8801,328.318,0.529167,0.59297,0.44987,0.300313,0.0647481
1759793187.6943486,9.1305,328.7,0.536458,0.59505,0.449271,0.279609,0.0647481
1759793187.85298,-0.8601000000000001,329.037,0.539583,0.5918,0.450729,0.288203,0.06450644
1759793188.0365808,9.1506,329.421,0.528125,0.59023,0.451172,0.252865,0.06477191
1759793188.2044466,-0.8349,329.947,0.528125,0.58659,0.451042,0.272839,0.06453443
1759793188.3995495,-0.8349,329.947,0.528125,0.59492,0.451016,0.259531,0.06480658
1759793188.577868,9.1705,330.137,0.558333,0.6069,0.451953,0.273021,0.06461067
1759793188.750437,-0.8201,330.476,0.558333,0.6069,0.451953,0.272995,0.06492095
1759793188.8363569,9.1905,330.858,0.538542,0.59779,0.451615,0.272995,0.06492095
1759793189.0061097,-0.8051,331.017,0.53125,0.59453,0.453255,0.272057,0.06468848
1759793189.1561022,9.2105,331.579,0.601042,0.62005,0.452682,0.254375,0.06506879
1759793189.3316941,9.2105,331.579,0.601042,0.59727,0.454505,0.272891,0.06482492
1759793189.5225065,-0.78,331.919,0.540625,0.59727,0.454505,0.272891,0.06519295
1759793189.6949952,9.2355,332.478,0.619792,0.62292,0.453333,0.259036,0.06495696
1759793189.781834,-0.7651,332.45799999999997,0.538542,0.59414,0.455417,0.273724,0.06495696
1759793189.9234552,9.2455,332.839,0.547917,0.60625,0.454193,0.312839,0.06533287
1759793190.106962,9.2455,332.839,0.541667,0.60026,0.455026,0.273073,0.06510054
1759793190.2906048,9.2655,333.178,0.544792,0.5974,0.455859,0.272552,0.0653243
1759793190.4628341,9.2655,333.558,0.544792,0.5974,0.455859,0.27901,0.06510304
1759793190.553484,-0.7251,333.898,0.540625,0.60195,0.455,0.27901,0.06510304
1759793190.6987004,9.2905,334.458,0.545833,0.59701,0.456042,0.246042,0.06533001
1759793190.8749073,-0.7,334.8,0.763542,0.68841,0.456094,0.269453,0.06516742
1759793191.0507324,9.3056,334.8,0.555208,0.60703,0.459792,0.26599,0.06546083
1759793191.2330835,9.3056,335.0,0.555208,0.60703,0.457995,0.279818,0.06528518
1759793191.415464,-0.6851,335.338,0.55,0.60352,0.465625,0.252344,0.06512072
1759793191.6045449,-0.675,335.699,0.54375,0.60352,0.465625,0.278906,0.06546106
1759793191.7923875,9.3355,336.08,0.548958,0.6237,0.464089,0.272161,0.06534034
1759793191.9647741,-0.655,336.42,0.603125,0.6237,0.464089,0.272161,0.06563953
1759793192.0519063,9.3606,336.98,0.545833,0.61029,0.454688,0.252943,0.06563953
1759793192.2093637,-0.6351,337.137,0.544792,0.60143,0.462005,0.259401,0.06543798
1759793192.3774784,9.3755,337.518,0.591667,0.61888,0.455104,0.285729,0.06578374
1759793192.5596223,9.3805,337.699,0.545833,0.60182,0.463568,0.299714,0.06606563
1759793192.7487192,9.3805,337.699,0.54375,0.59883,0.455495,0.265208,0.06578509
1759793192.927574,-0.6051,338.217,0.590625,0.61992,0.463542,0.285911,0.06612536
1759793193.1010242,9.4106,338.78,0.590625,0.61992,0.463542,0.266042,0.06582383
